店铺id,评分,评论数量,人均消费,归属商圈,菜系类型,county,距离描述
133533015,1.0,21,274,亚运村/奥体中心地区,江浙菜,朝阳区,距市中心11.9km
130380412,1.0,4,126,,烧烤,朝阳区,距市中心13.4km
13030556,1.0,4,52,平谷城区,快餐简餐,平谷区,
78813743,1.0,3,104,公主坟/五棵松/石景山游乐园地区,咖啡店,石景山区,距市中心14.5km
122741708,1.0,3,120,永定门/南站/大红门/南苑地区,鲁菜,丰台区,距市中心6.9km
130854172,1.0,2,0,公主坟/五棵松/石景山游乐园地区,小吃,海淀区,距市中心11.1km
79422665,1.0,2,79,前门/天坛公园/崇文门,川菜,东城区,距市中心1.3km
24562246,1.0,2,123,,火锅,东城区,距市中心1.3km
132791104,1.0,2,37,大兴北京新机场地区,面包甜点,大兴区,距市中心15km
8638406,1.0,2,41,上地产业园/西三旗,咖啡店,海淀区,距市中心18.8km
120801370,1.0,2,0,香山/八大处风景区,,海淀区,距市中心20km
25045503,1.0,2,0,永定门/南站/大红门/南苑地区,,丰台区,距市中心3.7km
143365359,1.0,2,0,三里屯/工体/东直门地区,小吃,东城区,距市中心4.2km
127749186,1.0,2,113,西直门/北京展览馆地区,火锅,西城区,距市中心6.7km
130015856,1.0,2,101,北京西站/丽泽商务区,粤菜,丰台区,距市中心7.5km
120330860,1.0,2,126,平谷城区,北京菜,平谷区,
12495011,1.0,2,67,,北京菜,延庆区,
17515263,1.0,2,56,,快餐简餐,密云区,
7022239,1.0,1,16,中关村/五道口,快餐简餐,海淀区,距市中心11.5km
22519980,1.0,1,48,,小吃,大兴区,距市中心12.9km
78690396,1.0,1,103,总部基地/丰台体育中心/南宫地区,,丰台区,距市中心13.6km
22521968,1.0,1,0,,,东城区,距市中心1.3km
130983886,1.0,1,57,前门/天坛公园/崇文门,快餐简餐,西城区,距市中心1.3km
21403543,1.0,1,46,大兴北京新机场地区,东北菜,大兴区,距市中心14.9km
8592791,1.0,1,122,大兴北京新机场地区,烧烤,大兴区,距市中心14km
4967298,1.0,1,41,大兴北京新机场地区,湘菜,丰台区,距市中心16.1km
129603605,1.0,1,47,亦庄地区,小吃,通州区,距市中心17.6km
134207797,1.0,1,82,公主坟/五棵松/石景山游乐园地区,川菜,石景山区,距市中心18.1km
21538745,1.0,1,70,,火锅,通州区,距市中心18.3km
120829482,1.0,1,136,回龙观/天通苑地区,火锅,昌平区,距市中心18.5km
4982872,1.0,1,66,回龙观/天通苑地区,烧烤,昌平区,距市中心18.6km
8595466,1.0,1,39,大兴北京新机场地区,小吃,大兴区,距市中心18.6km
15460236,1.0,1,70,亦庄地区,火锅,通州区,距市中心18.8km
17590179,1.0,1,55,前门/天坛公园/崇文门,快餐简餐,西城区,距市中心1.8km
8589558,1.0,1,97,大兴北京新机场地区,,大兴区,距市中心19.1km
16542414,1.0,1,82,公主坟/五棵松/石景山游乐园地区,火锅,石景山区,距市中心19.3km
120807552,1.0,1,86,环球影城度假区及周边,川菜,通州区,距市中心20.1km
118678648,1.0,1,142,大兴北京新机场地区,日本料理,大兴区,距市中心20km
15669031,1.0,1,12,香山/八大处风景区,小吃,石景山区,距市中心21.1km
136347283,1.0,1,0,通州运河商务区,,通州区,距市中心21.3km
129612953,1.0,1,40,,小吃,房山区,距市中心22.6km
7026294,1.0,1,34,天安门/王府井地区,小吃,东城区,距市中心2.2km
120819059,1.0,1,138,首都机场/新国展地区,粤菜,顺义区,距市中心23.1km
8623112,1.0,1,106,首都机场/新国展地区,火锅,顺义区,距市中心24.3km
20348034,1.0,1,90,,川菜,门头沟区,距市中心25.3km
21563782,1.0,1,101,门头沟/潭柘寺/妙峰山风景区,湘菜,门头沟区,距市中心27.1km
20370069,1.0,1,72,通州运河商务区,面包甜点,通州区,距市中心27.3km
15459149,1.0,1,15,通州运河商务区,快餐简餐,通州区,距市中心28km
21569422,1.0,1,98,,东北菜,昌平区,距市中心30.3km
22519930,1.0,1,110,,台湾菜,顺义区,距市中心32.5km
17610010,1.0,1,63,顺义温泉休闲区,其他,顺义区,距市中心36km
15986635,1.0,1,87,,烧烤,昌平区,距市中心36km
7037118,1.0,1,64,顺义温泉休闲区,北京菜,顺义区,距市中心37.3km
17609797,1.0,1,0,,,顺义区,距市中心37.7km
129607544,1.0,1,36,三里屯/工体/东直门地区,快餐简餐,东城区,距市中心3.7km
7028018,1.0,1,42,顺义温泉休闲区,小吃,顺义区,距市中心42.8km
122772770,1.0,1,89,后海/南锣鼓巷地区,川菜,西城区,距市中心4.4km
129607230,1.0,1,3,后海/南锣鼓巷地区,小吃,西城区,距市中心4.7km
120806582,1.0,1,23,永定门/南站/大红门/南苑地区,快餐简餐,丰台区,距市中心5.2km
4938304,1.0,1,91,北京西站/丽泽商务区,火锅,海淀区,距市中心6.7km
4937582,1.0,1,65,北京西站/丽泽商务区,湘菜,海淀区,距市中心7.2km
130232666,1.0,1,39,天安门/王府井地区,咖啡店,东城区,距市中心813m
17514992,1.0,1,0,延庆休闲度假区,北京菜,延庆区,
16571414,1.0,1,68,,快餐简餐,房山区,
16094578,1.0,1,14,,小吃,怀柔区,
15956836,1.0,1,33,平谷城区,小吃,平谷区,
311333,1.0,1,0,,北京菜,怀柔区,
7043165,1.0,1,0,,农家菜,延庆区,
129622778,1.0,1,91,怀柔风景区,北京菜,怀柔区,
18488183,1.0,1,148,怀柔风景区,北京菜,怀柔区,
24927265,1.0,1,0,,融合菜,怀柔区,
23521246,1.0,1,33,延庆休闲度假区,小吃,延庆区,
4971378,1.0,1,0,延庆休闲度假区,,延庆区,
120826724,1.0,1,74,延庆休闲度假区,火锅,延庆区,
78862813,1.0,1,96,延庆休闲度假区,川菜,延庆区,
132399634,1.0,1,107,延庆休闲度假区,农家菜,延庆区,
12503988,1.0,1,83,,农家菜,延庆区,
23537644,1.0,1,18,古北水镇,快餐简餐,密云区,
4956320,1.0,1,160,房山风景区,,房山区,
15923402,1.3,3,72,,北京菜,西城区,距市中心1.3km
16100022,1.5,2,101,亦庄地区,烧烤,大兴区,距市中心14.8km
4978576,1.9,9,76,永定门/南站/大红门/南苑地区,快餐简餐,丰台区,距市中心7.7km
131261182,2.0,18,172,三里屯/工体/东直门地区,酒吧/酒馆,朝阳区,距市中心5km
11128506,2.0,7,178,古北水镇,西餐,密云区,
120837073,2.0,4,116,亚运村/奥体中心地区,火锅,朝阳区,距市中心13.9km
6983919,2.0,3,118,天安门/王府井地区,北京菜,东城区,距市中心1.1km
120826379,2.0,3,16,前门/天坛公园/崇文门,面包甜点,东城区,距市中心1.1km
134005049,2.0,3,106,前门/天坛公园/崇文门,新疆菜,东城区,距市中心1.3km
120820135,2.0,3,102,北京站,徽菜,东城区,距市中心1.5km
134058681,2.0,3,96,天安门/王府井地区,粤菜,东城区,距市中心1.6km
8595657,2.0,3,59,,烧烤,房山区,
16565434,2.0,2,31,,小吃,大兴区,距市中心13km
134200241,2.0,2,100,回龙观/天通苑地区,韩国料理,昌平区,距市中心18.5km
79443934,2.0,2,114,首都机场/新国展地区,台湾菜,顺义区,距市中心23.8km
12212603,2.0,2,97,环球影城度假区及周边,北京菜,通州区,距市中心24.8km
16552269,2.0,2,50,大兴北京新机场地区,快餐简餐,大兴区,距市中心33.3km
7025210,2.0,2,0,环球影城度假区及周边,快餐简餐,通州区,距市中心33.3km
12213966,2.0,2,97,,快餐简餐,海淀区,距市中心8.6km
4952239,2.0,1,59,公主坟/五棵松/石景山游乐园地区,小吃,海淀区,距市中心10.1km
79440265,2.0,1,24,,韩国料理,海淀区,距市中心11.9km
15940796,2.0,1,109,公主坟/五棵松/石景山游乐园地区,西餐,海淀区,距市中心11km
18612502,2.0,1,19,总部基地/丰台体育中心/南宫地区,快餐简餐,丰台区,距市中心12.4km
130048988,2.0,1,138,亦庄地区,韩国料理,大兴区,距市中心13.6km
21584181,2.0,1,32,亦庄地区,小吃,大兴区,距市中心13km
93668251,2.0,1,119,亦庄地区,自助餐,大兴区,距市中心13km
4957226,2.0,1,85,,火锅,西城区,距市中心1.6km
15469300,2.0,1,51,,烧烤,大兴区,距市中心17.1km
133923353,2.0,1,28,公主坟/五棵松/石景山游乐园地区,快餐简餐,石景山区,距市中心18.5km
4968239,2.0,1,23,亦庄地区,快餐简餐,通州区,距市中心18.6km
129999819,2.0,1,18,通州运河商务区,小吃,通州区,距市中心21.3km
120833323,2.0,1,85,通州运河商务区,烧烤,通州区,距市中心21.3km
122755484,2.0,1,99,环球影城度假区及周边,火锅,通州区,距市中心23.5km
5559702,2.0,1,28,回龙观/天通苑地区,快餐简餐,昌平区,距市中心23.5km
130249964,2.0,1,60,环球影城度假区及周边,烧烤,通州区,距市中心24.5km
8300167,2.0,1,51,,火锅,房山区,距市中心30.8km
16578525,2.0,1,82,顺义温泉休闲区,火锅,顺义区,距市中心31.6km
15468670,2.0,1,71,房山风景区,,房山区,距市中心34.7km
8549335,2.0,1,35,门头沟/潭柘寺/妙峰山风景区,,门头沟区,距市中心35.7km
130980256,2.0,1,18,昌平城区/十三陵度假区,面包甜点,昌平区,距市中心37.1km
15473135,2.0,1,37,,,西城区,距市中心4.7km
4945600,2.0,1,42,,快餐简餐,西城区,距市中心4km
143361190,2.0,1,0,永定门/南站/大红门/南苑地区,火锅,丰台区,距市中心5.4km
120822384,2.0,1,82,永定门/南站/大红门/南苑地区,,丰台区,距市中心6.5km
120819101,2.0,1,25,劲松/潘家园地区,小吃,丰台区,距市中心7.2km
15889364,2.0,1,13,西直门/北京展览馆地区,快餐简餐,海淀区,距市中心7.4km
129618227,2.0,1,29,西直门/北京展览馆地区,快餐简餐,海淀区,距市中心7.7km
11600908,2.0,1,16,西直门/北京展览馆地区,快餐简餐,海淀区,距市中心7.9km
8631819,2.0,1,56,天安门/王府井地区,小吃,东城区,距市中心985m
4949738,2.0,1,95,,火锅,海淀区,距市中心9.9km
242927,2.0,1,69,怀柔风景区,北京菜,怀柔区,
5559790,2.0,1,53,,火锅,平谷区,
16549354,2.0,1,59,,北京菜,平谷区,
13122080,2.0,1,0,延庆休闲度假区,北京菜,延庆区,
7025358,2.0,1,20,延庆休闲度假区,小吃,延庆区,
11157881,2.0,1,39,,,延庆区,
311777,2.0,1,106,,北京菜,怀柔区,
13366626,2.3,3,25,,快餐简餐,房山区,距市中心43km
16998035,2.3,3,61,,北京菜,昌平区,
13331199,2.3,3,107,,,延庆区,
12466753,2.3,3,91,密云水库,,密云区,
330422,2.5,15,45,小汤山温泉度假区,粤菜,昌平区,距市中心24.1km
7036460,2.5,13,17,香山/八大处风景区,快餐简餐,海淀区,距市中心20.1km
79423048,2.5,13,109,西单/金融街地区,粤菜,西城区,距市中心3.2km
130968112,2.5,9,221,环球影城度假区及周边,西餐,通州区,距市中心23.6km
16563930,2.5,6,81,,川菜,丰台区,距市中心4.5km
16993636,2.5,5,39,,快餐简餐,昌平区,距市中心23.6km
133967038,2.5,4,0,劲松/潘家园地区,江西菜,丰台区,距市中心5.7km
136354664,2.5,3,0,天安门/王府井地区,北京菜,东城区,距市中心1.6km
21586885,2.5,3,76,昌平城区/十三陵度假区,北京菜,昌平区,距市中心36.1km
15541226,2.5,2,45,,小吃,大兴区,距市中心13.5km
22515834,2.5,2,93,大兴北京新机场地区,江浙菜,大兴区,距市中心16km
15880245,2.5,2,0,香山/八大处风景区,,石景山区,距市中心18.1km
22515159,2.5,2,182,回龙观/天通苑地区,,昌平区,距市中心23.5km
16100102,2.5,2,0,首都机场/新国展地区,面包甜点,顺义区,距市中心24.1km
17590349,2.5,2,34,前门/天坛公园/崇文门,小吃,西城区,距市中心2.7km
16574115,2.5,2,100,房山风景区,,房山区,距市中心29.1km
17001067,2.5,2,22,顺义温泉休闲区,面包甜点,顺义区,距市中心32.5km
22518242,2.5,2,13,顺义温泉休闲区,快餐简餐,顺义区,距市中心37km
22296251,2.5,2,113,西直门/北京展览馆地区,粤菜,西城区,距市中心5.2km
12876472,2.5,2,42,西直门/北京展览馆地区,小吃,西城区,距市中心5.4km
15643675,2.5,2,32,永定门/南站/大红门/南苑地区,快餐简餐,丰台区,距市中心5km
17512361,2.5,2,0,延庆休闲度假区,,延庆区,
12498274,2.5,2,58,延庆休闲度假区,湘菜,延庆区,
130979675,2.5,2,158,延庆休闲度假区,自助餐,延庆区,
7047576,2.6,5,80,房山风景区,,房山区,距市中心31.6km
15491744,2.7,33,46,,快餐简餐,西城区,距市中心6.9km
15475856,2.7,28,54,前门/天坛公园/崇文门,小吃,东城区,距市中心1km
18541202,2.7,6,131,后海/南锣鼓巷地区,火锅,西城区,距市中心3.8km
13423240,2.7,3,48,房山风景区,小吃,房山区,距市中心22.8km
12214038,2.7,3,74,通州运河商务区,川菜,通州区,距市中心23km
79422733,2.8,11,30,中关村/五道口,快餐简餐,海淀区,距市中心11.8km
15655595,2.8,6,19,大兴北京新机场地区,快餐简餐,大兴区,距市中心21.6km
6942853,2.8,6,28,昌平城区/十三陵度假区,川菜,昌平区,距市中心38.7km
11330217,2.9,17,59,回龙观/天通苑地区,东北菜,昌平区,距市中心19.3km
293944,2.9,16,182,,海鲜,丰台区,距市中心6.7km
334811,2.9,10,102,前门/天坛公园/崇文门,北京菜,东城区,距市中心1.8km
4977936,2.9,10,172,,烧烤,朝阳区,距市中心7.5km
22511047,3.0,20,217,三里屯/工体/东直门地区,火锅,朝阳区,距市中心5.2km
122791813,3.0,20,139,燕莎/朝阳公园商业区,粤菜,朝阳区,距市中心6.7km
110397037,3.0,10,244,通州运河商务区,自助餐,通州区,距市中心21.5km
120813207,3.0,10,92,首都机场/新国展地区,自助餐,顺义区,距市中心24.3km
22518991,3.0,10,43,西单/金融街地区,小吃,西城区,距市中心4km
319754,3.0,9,121,公主坟/五棵松/石景山游乐园地区,川菜,石景山区,距市中心17km
122730484,3.0,9,122,永定门/南站/大红门/南苑地区,火锅,丰台区,距市中心7.5km
7021885,3.0,9,41,中关村/五道口,小吃,海淀区,距市中心9.5km
120829418,3.0,8,133,望京/酒仙桥/798地区,火锅,朝阳区,距市中心10.4km
120830465,3.0,8,50,国贸地区,川菜,朝阳区,距市中心5km
127645900,3.0,7,145,望京/酒仙桥/798地区,日本料理,朝阳区,距市中心12.5km
8493211,3.0,7,60,,,昌平区,
79422951,3.0,6,170,前门/天坛公园/崇文门,川菜,东城区,距市中心1.1km
130807130,3.0,6,35,大兴北京新机场地区,面包甜点,大兴区,距市中心13.8km
130974900,3.0,6,94,中关村/五道口,火锅,海淀区,距市中心14.3km
265279,3.0,6,80,上地产业园/西三旗,烧烤,海淀区,距市中心16.5km
15927062,3.0,6,120,沙河大学城/上庄地区,烧烤,海淀区,距市中心27.6km
31663032,3.0,6,117,后海/南锣鼓巷地区,酒吧/酒馆,西城区,距市中心3.8km
22510961,3.0,6,60,国贸地区,海鲜,朝阳区,距市中心4.5km
133977499,3.0,6,125,公主坟/五棵松/石景山游乐园地区,火锅,海淀区,距市中心8.9km
130732866,3.0,5,112,大兴北京新机场地区,北京菜,大兴区,距市中心11.4km
25033525,3.0,5,226,望京/酒仙桥/798地区,北京菜,朝阳区,距市中心12.1km
4978287,3.0,5,35,公主坟/五棵松/石景山游乐园地区,西北菜,石景山区,距市中心18.3km
